更新时间: 2026-04-22 20:54:10（北京时间）

更新时间,#genre#
2026-04-22 20:54:10,http://kakaxi.indevs.in/LOGO/Disclaimer.mp4

央视频道,#genre#
湖北卫视,http://183.151.27.188:4022/rtp/233.50.200.147:5140$浙江电信
湖北卫视,http://220.192.130.71:8002/rtp/225.0.4.217:7980$重庆市联通
湖北卫视,http://121.238.250.95:8800/rtp/239.49.8.8:9632$江苏电信
江西卫视,http://27.11.252.52:8002/rtp/225.0.4.203:7980$重庆市联通
江西卫视,http://121.230.144.64:8000/rtp/239.49.8.111:8000$江苏电信
江西卫视,http://223.10.214.111:6000/rtp/239.1.1.52:8052$山西电信
江西卫视,http://183.151.27.188:4022/rtp/233.50.201.145:5140$浙江电信
江西卫视,http://183.151.27.188:4022/rtp/233.50.200.119:5140$浙江电信
江西卫视,http://220.192.130.71:8002/rtp/225.0.4.203:7980$重庆市联通
江西卫视,http://121.238.250.95:8800/rtp/239.49.8.111:8000$江苏电信
四川卫视,http://27.11.252.52:8002/rtp/225.0.4.108:7980$重庆市联通
四川卫视,http://27.11.252.52:8002/rtp/225.0.4.204:7980$重庆市联通
四川卫视,http://121.230.144.64:8000/rtp/239.49.8.110:8000$江苏电信
四川卫视,http://223.10.214.111:6000/rtp/239.1.1.29:8029$山西电信
四川卫视,http://183.151.27.188:4022/rtp/233.50.201.139:5140$浙江电信
四川卫视,http://183.151.27.188:4022/rtp/233.50.200.118:5140$浙江电信
四川卫视,http://183.151.27.188:4022/rtp/233.50.202.109:5140$浙江电信
四川卫视,http://220.192.130.71:8002/rtp/225.0.4.108:7980$重庆市联通
四川卫视,http://220.192.130.71:8002/rtp/225.0.4.204:7980$重庆市联通
四川卫视,http://121.238.250.95:8800/rtp/239.49.8.110:8000$江苏电信
重庆卫视,http://27.11.252.52:8002/rtp/225.0.4.187:7980$重庆市联通
重庆卫视,http://121.230.144.64:8000/rtp/239.49.8.57:9830$江苏电信
重庆卫视,http://223.10.214.111:6000/rtp/239.1.1.36:8036$山西电信
重庆卫视,http://183.151.27.188:4022/rtp/233.50.201.143:5140$浙江电信
重庆卫视,http://183.151.27.188:4022/rtp/233.50.200.114:5140$浙江电信
重庆卫视,http://220.192.130.71:8002/rtp/225.0.4.187:7980$重庆市联通
重庆卫视,http://121.238.250.95:8800/rtp/239.49.8.57:9830$江苏电信
贵州卫视,http://27.11.252.52:8002/rtp/225.0.4.175:7980$重庆市联通
贵州卫视,http://121.230.144.64:8000/rtp/239.49.8.49:8000$江苏电信
贵州卫视,http://223.10.214.111:6000/rtp/239.1.1.43:8043$山西电信
贵州卫视,http://183.151.27.188:4022/rtp/233.50.201.142:5140$浙江电信
贵州卫视,http://183.151.27.188:4022/rtp/233.50.200.139:5140$浙江电信
贵州卫视,http://220.192.130.71:8002/rtp/225.0.4.175:7980$重庆市联通
贵州卫视,http://121.238.250.95:8800/rtp/239.49.8.49:8000$江苏电信
云南卫视,http://121.230.144.64:8000/rtp/239.49.0.177:8000$江苏电信
云南卫视,http://223.10.214.111:6000/rtp/239.1.1.54:8054$山西电信
云南卫视,http://183.151.27.188:4022/rtp/233.50.200.115:5140$浙江电信
云南卫视,http://121.238.250.95:8800/rtp/239.49.0.177:8000$江苏电信
天津卫视,http://27.11.252.52:8002/rtp/225.0.4.82:7980$重庆市联通
天津卫视,http://121.230.144.64:8000/rtp/239.49.8.35:8620$江苏电信
天津卫视,http://223.10.214.111:6000/rtp/239.1.1.46:8046$山西电信
天津卫视,http://183.151.27.188:4022/rtp/233.50.201.104:5140$浙江电信
天津卫视,http://183.151.27.188:4022/rtp/233.50.200.104:5140$浙江电信
天津卫视,http://220.192.130.71:8002/rtp/225.0.4.82:7980$重庆市联通
天津卫视,http://121.238.250.95:8800/rtp/239.49.8.35:8620$江苏电信
安徽卫视,http://27.11.252.52:8002/rtp/225.0.4.133:7980$重庆市联通
安徽卫视,http://121.230.144.64:8000/rtp/239.49.8.80:8000$江苏电信
安徽卫视,http://223.10.214.111:6000/rtp/239.1.1.44:8044$山西电信
安徽卫视,http://183.151.27.188:4022/rtp/233.50.201.113:5140$浙江电信
安徽卫视,http://183.151.27.188:4022/rtp/233.50.200.106:5140$浙江电信
安徽卫视,http://220.192.130.71:8002/rtp/225.0.4.133:7980$重庆市联通
安徽卫视,http://121.238.250.95:8800/rtp/239.49.8.80:8000$江苏电信
山东卫视,http://27.11.252.52:8002/rtp/225.0.4.106:7980$重庆市联通
山东卫视,http://27.11.252.52:8002/rtp/225.0.4.199:7980$重庆市联通
